,Unnamed: 0,name,height,weight,reach,STANCE,SLPM,Str Acc,SApm,Str. Def,TD Avg,TD Acc,TD Def,Sub Avg,age
137,137,Rinya Nakamura,67.0,135,68.0, Southpaw,3.53,0.54,1.38,0.67,3.72,0.9,1.0,1.6,29.0
138,138,Carl Toomey,, --,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
139,139,Jason Ireland,69.0,161,69.0, Southpaw,1.2,0.25,2.07,0.51,3.59,0.75,0.0,1.2,44.0
140,140,Issac DeJesus,,145,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
141,141,Eddie Sanchez,74.0,230,74.0, Orthodox,3.45,0.43,3.3,0.43,1.13,0.26,0.42,0.0,41.0
142,142,Bazigit Atajev,73.0,230,74.0, Orthodox,0.87,0.41,3.14,0.49,1.0,0.33,0.0,0.0,
143,143,Jadson Costa,67.0,155,68.0, Orthodox,0.2,0.5,3.05,0.5,0.0,0.0,0.0,0.0,
144,144,Drew Fickett,70.0,155,70.0, Orthodox,2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2,44.0
145,145,George Bush,73.0,205,72.0,,6.35,0.64,2.31,0.55,17.31,0.66,0.0,0.0,
146,146,Dan O'Connor,64.0,115,63.0,,4.0,0.56,5.1,0.54,0.0,0.0,1.0,0.0,41.0
147,147,Ali Bagautinov,64.0,125,65.0, Orthodox,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,38.0
148,148,Pat Audinwood,72.0,155,74.0, Orthodox,1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0,38.0
149,149,Kerry Schall,74.0,265,74.0, Orthodox,0.94,0.11,4.84,0.63,0.0,0.0,0.0,0.0,52.0
150,150,Chris Indich,70.0,170,73.0,,1.31,0.3,4.32,0.43,0.75,0.5,0.5,1.5,37.0
151,151,Casey Huffman,75.0,185,74.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
152,152,Kiyoshi Tamura,71.0,185,71.0, Southpaw,2.44,0.53,1.44,0.6,0.58,0.6,0.45,0.2,54.0
153,153,Manuel Torres,70.0,155,73.0, Switch,8.14,0.58,3.15,0.56,3.26,0.66,0.88,1.6,29.0
154,154,Gasan Umalatov,71.0,170,71.0, Orthodox,2.23,0.39,4.1,0.59,0.75,0.17,0.9,0.0,41.0
155,155,Sheymon Moraes,68.0,145,72.0, Orthodox,3.0,0.42,3.64,0.63,0.0,0.0,0.53,0.0,33.0
156,156,Bryan Barberena,72.0,185,72.0, Southpaw,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3,35.0
